               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04235,            0.016609,           0.0080606,              0.4754,             0.39234,             0.37769,             0.21261,            0.044204,           0.0096533,            0.011474,            0.006436,            0.006436,            0.006436
                  38,            0.042218,            0.016743,           0.0081761,              0.5237,             0.36982,             0.38857,             0.22373,            0.043674,           0.0096878,            0.011212,            0.006337,            0.006337,            0.006337
                  39,            0.041625,            0.016611,           0.0076164,             0.55174,             0.36983,              0.3923,             0.22059,            0.043824,           0.0096333,            0.012183,            0.006238,            0.006238,            0.006238
                  40,            0.041597,            0.016477,           0.0077014,             0.49071,             0.39443,             0.38705,             0.22497,            0.043642,           0.0096213,            0.011364,            0.006139,            0.006139,            0.006139
                  41,            0.041485,            0.016109,           0.0075987,             0.54661,             0.36059,             0.39281,             0.22787,            0.042865,            0.009482,            0.012947,             0.00604,             0.00604,             0.00604
                  42,            0.040952,            0.016166,           0.0074779,             0.49632,             0.39532,             0.38769,             0.22296,            0.043591,           0.0095149,            0.012361,            0.005941,            0.005941,            0.005941
                  43,            0.040643,            0.016333,           0.0072057,             0.49579,             0.35327,               0.391,             0.22213,             0.04305,           0.0095979,            0.011113,            0.005842,            0.005842,            0.005842
                  44,            0.040605,            0.016078,           0.0073829,             0.46892,             0.42351,             0.40527,             0.23977,            0.042959,           0.0094289,            0.011164,            0.005743,            0.005743,            0.005743
                  45,            0.040525,            0.016128,           0.0073963,             0.43093,             0.39407,             0.38417,             0.22107,            0.042442,            0.009442,            0.012098,            0.005644,            0.005644,            0.005644
                  46,            0.040137,             0.01647,            0.006816,             0.53798,             0.35706,             0.39532,              0.2296,            0.042895,             0.00945,            0.012425,            0.005545,            0.005545,            0.005545
                  47,            0.039799,            0.015997,           0.0070908,              0.5278,             0.40775,             0.41032,             0.23407,            0.042584,           0.0093282,            0.012205,            0.005446,            0.005446,            0.005446
                  48,            0.039978,             0.01563,           0.0067062,             0.46486,             0.34819,             0.39168,             0.22097,             0.04262,           0.0095282,            0.012128,            0.005347,            0.005347,            0.005347
