   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.63621,             0.29545,             0.30741,             0.15812,            0.049155,           0.0087608,            0.012708,             0.00826,                0.01,              0.9681,             0.00051,              2.2523,             0.88872,             0.11007,             0.05541,             0.45295,              1.0531,              1.2453,             0.96094,                 0.2,              2.8572,                   0,             0.01637,             0.65987,             0.42166,                   0,             0.09548,             0.52227,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.8707
             0.64019,             0.33241,              0.3276,             0.17658,            0.044731,           0.0084768,            0.010184,             0.00777,             0.01151,             0.96825,             0.00049,              2.7596,                0.95,             0.10815,             0.05073,             0.44243,             0.87829,              1.2184,             0.99477,                 0.2,              3.0013,                   0,             0.01581,             0.65396,             0.38548,                   0,             0.08338,             0.50786,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6236
             0.63952,             0.29851,             0.30699,             0.16826,            0.056088,           0.0088685,             0.01245,             0.00777,             0.01022,             0.96934,             0.00047,              2.3543,                0.95,             0.11012,             0.06077,             0.44865,              1.0284,              1.2246,             0.97518,                 0.2,              2.9615,                   0,             0.01475,             0.64743,             0.40532,                   0,             0.10272,             0.46982,                   0,                   0,                   0,                 0.5,              0.9497,                   0,                   0,               3.622
             0.66854,             0.31504,             0.32534,             0.17616,            0.048298,            0.010813,               0.011,             0.00921,                0.01,              0.9695,             0.00046,              2.3335,             0.91108,             0.12404,              0.0554,             0.44865,              1.0095,              1.4329,              1.1771,                 0.2,              2.8953,                   0,             0.01563,             0.63929,                 0.4,                   0,             0.10473,             0.49967,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              5.5068
             0.58459,             0.28892,             0.26067,             0.13143,            0.057061,           0.0089381,            0.019797,             0.00881,             0.01037,             0.96294,             0.00035,              2.7213,             0.77492,             0.08738,             0.05722,             0.78647,             0.96602,             0.78086,              1.0909,                 0.2,              4.1183,                   0,             0.01252,             0.65365,              0.4348,                   0,             0.10755,             0.55731,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0684
             0.64767,             0.31083,              0.3021,              0.1597,            0.037726,            0.011129,            0.016198,             0.00981,                0.01,             0.95411,             0.00058,              2.4168,             0.77492,             0.09908,             0.03977,             0.58191,              0.9342,             0.92196,             0.90307,                 0.2,              4.3727,                   0,             0.01601,             0.59646,              0.4473,                   0,             0.09563,             0.51673,                   0,                   0,                   0,                 0.5,             0.91637,                   0,                   0,              2.2862
             0.66165,             0.30432,             0.31408,              0.1663,            0.040354,            0.012828,            0.014261,             0.01031,                0.01,             0.95662,             0.00055,              2.3113,             0.79307,             0.08724,             0.04297,             0.61725,             0.95419,              1.0528,              1.0336,                 0.2,              4.3972,                   0,             0.01682,             0.63367,             0.43406,                   0,             0.10866,             0.49183,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7944
             0.67948,             0.32738,               0.339,             0.18891,            0.043775,           0.0091902,            0.014619,             0.00828,             0.01212,             0.89297,             0.00061,              2.4168,              0.7698,             0.09305,             0.04871,             0.60606,              1.0643,             0.83316,             0.91073,                 0.2,              4.1972,                   0,             0.01478,             0.47114,              0.4473,                   0,             0.10723,             0.57929,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2862
             0.64028,             0.30706,             0.31809,             0.17136,            0.039693,           0.0079734,            0.010408,             0.00777,             0.01228,             0.96825,             0.00053,              2.7596,                0.95,             0.11385,             0.04478,             0.44496,             0.84826,              1.1767,              1.0508,                 0.2,              2.9004,                   0,             0.01558,             0.66502,             0.38548,                   0,             0.08379,             0.51314,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                3.97
             0.64837,             0.32419,             0.31595,             0.17372,            0.046878,           0.0076172,            0.010525,             0.00833,             0.01132,             0.96331,             0.00049,                2.75,             0.94213,             0.10815,              0.0532,             0.44567,             0.83577,              1.0869,             0.92395,                 0.2,              2.9991,                   0,             0.01557,             0.64742,             0.41353,                   0,             0.08338,             0.51401,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.8379
