               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,            0.062665,            0.020871,            0.023682,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082206,           0.0082206,           0.0082206
                   4,            0.059772,            0.020176,            0.021578,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072058,           0.0072058,           0.0072058
                   5,            0.056794,            0.020049,            0.019692,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061911,           0.0061911,           0.0061911
                   6,             0.05436,            0.019715,            0.018479,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051764,           0.0051764,           0.0051764
                   7,             0.05301,            0.018895,            0.017291,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041617,           0.0041617,           0.0041617
                   8,            0.050834,            0.018873,            0.016026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003147,            0.003147,            0.003147
                   9,            0.049018,              0.0184,            0.015154,             0.62769,             0.30751,             0.29972,             0.15581,            0.047491,            0.009845,            0.014393,           0.0021322,           0.0021322,           0.0021322
                   0,            0.073201,            0.024634,            0.040339,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040541,           0.0040541,            0.062188
                   1,            0.058425,            0.021795,            0.026456,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073095,           0.0073095,            0.024453
                   2,            0.056421,            0.021611,            0.025668,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078676,           0.0078676,           0.0078676
                   3,            0.054456,            0.021974,            0.024924,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078676,           0.0078676,           0.0078676
                   4,            0.052205,            0.021163,            0.022759,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068964,           0.0068964,           0.0068964
                   5,            0.049575,            0.020884,            0.020985,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059252,           0.0059252,           0.0059252
                   6,            0.047781,            0.020227,            0.019013,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004954,            0.004954,            0.004954
                   7,            0.045659,            0.019506,            0.017831,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039829,           0.0039829,           0.0039829
                   8,            0.044351,            0.019567,            0.016474,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030117,           0.0030117,           0.0030117
                   9,            0.042949,            0.019214,             0.01573,             0.68775,             0.31506,             0.33206,             0.17486,            0.041033,            0.011571,            0.014367,           0.0020405,           0.0020405,           0.0020405
                   0,            0.085282,              0.0237,            0.038731,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048405,           0.0048405,            0.044925
                   1,            0.067827,              0.0208,            0.026294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087274,           0.0087274,            0.013427
                   2,            0.066729,            0.021171,            0.025542,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082847,           0.0082847,           0.0082847
                   3,            0.064518,            0.021391,            0.024427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082847,           0.0082847,           0.0082847
                   4,            0.060686,            0.020791,            0.022575,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007262,            0.007262,            0.007262
                   5,            0.058177,            0.020631,            0.020546,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062393,           0.0062393,           0.0062393
                   6,            0.056044,            0.019805,             0.01978,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052167,           0.0052167,           0.0052167
                   7,            0.054033,            0.019468,            0.017667,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004194,            0.004194,            0.004194
                   8,            0.051837,             0.01914,            0.016931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031713,           0.0031713,           0.0031713
                   9,            0.050326,            0.019235,            0.016307,             0.63309,             0.29724,             0.29808,             0.14816,            0.048653,             0.01076,            0.014076,           0.0021486,           0.0021486,           0.0021486
                   0,            0.079358,            0.024721,            0.040033,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030052,           0.0030052,            0.049586
                   1,             0.06119,            0.021553,            0.026859,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054183,           0.0054183,            0.017942
                   2,            0.058629,            0.020577,            0.023942,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057102,           0.0057102,           0.0057102
                   3,            0.055819,            0.020363,            0.022384,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057102,           0.0057102,           0.0057102
                   4,            0.053365,            0.019633,            0.020777,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050054,           0.0050054,           0.0050054
                   5,            0.050758,            0.019641,            0.019281,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043005,           0.0043005,           0.0043005
                   6,            0.049464,             0.01903,            0.017972,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035956,           0.0035956,           0.0035956
                   7,            0.047533,            0.018609,            0.016489,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028907,           0.0028907,           0.0028907
                   8,            0.045913,            0.018119,            0.015639,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021858,           0.0021858,           0.0021858
                   9,            0.044206,            0.018003,            0.014824,             0.64181,             0.30689,              0.3095,             0.16137,            0.042467,            0.010824,            0.014347,            0.001481,            0.001481,            0.001481
                   0,            0.085189,             0.02078,            0.030276,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031203,           0.0031203,             0.06806
                   1,            0.069346,            0.016892,            0.022163,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056264,           0.0056264,            0.026938
                   2,            0.068251,            0.016327,            0.020121,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062327,           0.0062327,           0.0062327
                   3,             0.06665,            0.015856,            0.019227,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062327,           0.0062327,           0.0062327
                   4,            0.063476,            0.015675,            0.017154,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005464,            0.005464,            0.005464
                   5,            0.060791,            0.015207,            0.016179,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046953,           0.0046953,           0.0046953
                   6,            0.058859,            0.014868,            0.015207,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039266,           0.0039266,           0.0039266
                   7,            0.056782,            0.014855,            0.014113,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003158,            0.003158,            0.003158
                   8,            0.054386,            0.014571,            0.013174,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023893,           0.0023893,           0.0023893
                   9,            0.052808,            0.014104,            0.012901,             0.65677,             0.29816,             0.31079,             0.16281,            0.051776,           0.0078001,             0.01115,           0.0016206,           0.0016206,           0.0016206
                   0,             0.10366,            0.018987,            0.030454,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032101,           0.0032101,            0.069088
                   1,            0.087338,            0.017257,            0.026012,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057878,           0.0057878,            0.027374
                   2,            0.085704,            0.016995,            0.023317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006408,            0.006408,            0.006408
                   3,             0.08335,            0.016672,            0.021293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006408,            0.006408,            0.006408
                   4,            0.079737,            0.016206,            0.019711,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005617,            0.005617,            0.005617
                   5,             0.07661,            0.015799,            0.018487,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004826,            0.004826,            0.004826
                   6,            0.074001,            0.015415,            0.017563,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004035,            0.004035,            0.004035
                   7,            0.071139,            0.015259,            0.016119,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032439,           0.0032439,           0.0032439
                   8,            0.068642,            0.014888,            0.015202,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024529,           0.0024529,           0.0024529
                   9,            0.066789,            0.014894,            0.014712,             0.56567,             0.26574,             0.24944,             0.12336,            0.064529,            0.008997,            0.013499,           0.0016619,           0.0016619,           0.0016619
                   0,             0.11371,            0.023271,            0.037302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028882,           0.0028882,            0.074444
                   1,            0.084872,            0.018278,            0.027107,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052084,           0.0052084,            0.031211
                   2,            0.084435,            0.016882,            0.023453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059615,           0.0059615,           0.0059615
                   3,                 nan,                 nan,            0.022302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059615,           0.0059615,           0.0059615
                   4,            0.078483,            0.016028,            0.020017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052273,           0.0052273,           0.0052273
                   5,            0.074904,            0.015473,            0.018348,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004493,            0.004493,            0.004493
                   6,            0.071834,            0.015161,            0.017329,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037588,           0.0037588,           0.0037588
                   7,            0.069206,            0.015072,            0.015965,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030245,           0.0030245,           0.0030245
                   8,            0.066745,            0.014847,            0.015117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022903,           0.0022903,           0.0022903
                   9,            0.064537,            0.014392,            0.014342,             0.61897,             0.30952,             0.30721,             0.16117,            0.062175,           0.0082924,            0.012666,            0.001556,            0.001556,            0.001556
                   0,            0.084404,            0.022119,            0.031063,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033258,           0.0033258,            0.066311
                   1,            0.069666,            0.018284,            0.022907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059966,           0.0059966,            0.021795
                   2,            0.067848,            0.017693,            0.020222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062319,           0.0062319,           0.0062319
                   3,            0.065433,            0.017151,            0.019018,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062319,           0.0062319,           0.0062319
                   4,            0.062321,            0.017103,            0.017058,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054628,           0.0054628,           0.0054628
                   5,            0.060323,            0.016489,            0.016222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046938,           0.0046938,           0.0046938
                   6,            0.057947,            0.016184,            0.015352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039247,           0.0039247,           0.0039247
                   7,            0.055855,            0.016093,            0.014301,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031556,           0.0031556,           0.0031556
                   8,            0.053552,             0.01575,            0.013274,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023866,           0.0023866,           0.0023866
                   9,            0.052039,            0.015286,            0.012981,             0.64476,             0.29973,             0.31157,             0.16525,            0.050779,           0.0084007,            0.011444,           0.0016175,           0.0016175,           0.0016175
                   0,            0.083659,            0.022361,            0.031134,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003329,            0.003329,            0.066241
                   1,            0.068388,            0.018577,            0.022329,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060022,           0.0060022,            0.021704
                   2,            0.067373,            0.017975,            0.020074,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062319,           0.0062319,           0.0062319
                   3,             0.06531,            0.017467,            0.018877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062319,           0.0062319,           0.0062319
                   4,            0.062037,            0.017323,            0.017076,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054628,           0.0054628,           0.0054628
                   5,            0.059873,            0.016709,            0.016099,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046938,           0.0046938,           0.0046938
                   6,            0.057611,            0.016404,            0.015189,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039247,           0.0039247,           0.0039247
                   7,            0.055349,            0.016241,            0.013992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031556,           0.0031556,           0.0031556
                   8,            0.053226,            0.015927,            0.012968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023866,           0.0023866,           0.0023866
                   9,            0.051772,            0.015419,            0.012686,             0.62329,             0.31338,              0.3098,             0.17003,            0.050334,           0.0083361,              0.0123,           0.0016175,           0.0016175,           0.0016175
                   0,            0.052899,            0.019287,            0.023459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040376,           0.0040376,            0.068165
                   1,            0.044535,            0.016299,             0.01974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072797,           0.0072797,            0.013451
                   2,            0.041739,            0.015664,            0.017032,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006825,            0.006825,            0.006825
                   3,            0.039648,            0.014711,            0.015186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006825,            0.006825,            0.006825
                   4,            0.037491,            0.014179,            0.013833,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059825,           0.0059825,           0.0059825
                   5,            0.036236,            0.013933,            0.013001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00514,             0.00514,             0.00514
                   6,            0.034849,            0.013469,            0.011828,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042975,           0.0042975,           0.0042975
                   7,            0.033743,            0.013175,            0.011391,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034551,           0.0034551,           0.0034551
                   8,            0.032477,            0.013049,            0.010504,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026126,           0.0026126,           0.0026126
                   9,            0.031072,            0.012547,           0.0099612,             0.60424,             0.25727,             0.26309,             0.13275,            0.032243,           0.0070577,           0.0097414,           0.0017701,           0.0017701,           0.0017701
                   0,            0.083627,            0.022796,            0.033219,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036631,           0.0036631,             0.06492
                   1,            0.066675,            0.018139,             0.02394,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066045,           0.0066045,            0.018995
                   2,             0.06583,            0.017314,            0.021342,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066245,           0.0066245,           0.0066245
                   3,            0.064067,            0.016968,            0.020515,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066245,           0.0066245,           0.0066245
                   4,            0.060426,            0.016718,            0.018465,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058068,           0.0058068,           0.0058068
                   5,            0.057964,            0.016199,            0.017006,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004989,            0.004989,            0.004989
                   6,            0.055888,            0.015914,            0.016278,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041713,           0.0041713,           0.0041713
                   7,            0.053285,            0.015687,            0.014751,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033536,           0.0033536,           0.0033536
                   8,            0.051622,            0.015422,            0.014002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025358,           0.0025358,           0.0025358
                   9,            0.050184,            0.014969,            0.013504,             0.63621,             0.29545,             0.30741,             0.15812,            0.049155,           0.0087608,            0.012708,           0.0017181,           0.0017181,           0.0017181
                   0,            0.076158,            0.023067,            0.028539,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028125,           0.0028125,            0.071815
                   1,            0.061182,            0.019016,            0.020583,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050718,           0.0050718,            0.034884
                   2,             0.05926,            0.018183,            0.018157,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062339,           0.0062339,           0.0062339
