   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.59755,             0.42771,             0.46585,              0.2811,            0.039874,           0.0092964,            0.012384,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.63683,             0.42719,             0.44337,             0.27334,            0.041086,           0.0074346,            0.012363,             0.00998,                0.01,             0.91946,             0.00049,              3.2706,             0.80945,             0.12338,             0.05022,                 0.5,             0.87326,             0.75507,                   1,                 0.2,              4.0565,                   0,             0.01389,             0.73774,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0238
             0.52729,             0.37014,             0.42212,             0.25909,            0.036901,           0.0087654,            0.015082,             0.01194,             0.01052,               0.937,             0.00051,              2.2307,                 0.8,             0.11827,             0.04748,             0.50323,              1.0985,                   1,                   1,                 0.2,              3.9168,                   0,               0.015,                 0.7,             0.38584,                   0,             0.09003,             0.50021,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6444
             0.53688,             0.39268,             0.41492,             0.25495,            0.035305,           0.0063478,            0.012989,             0.01067,                0.01,             0.88089,             0.00045,              3.0059,             0.86036,             0.10513,             0.04527,             0.52398,             0.91082,             0.72377,             0.94846,                 0.2,              4.0356,                   0,              0.0135,             0.74052,             0.43949,                   0,             0.08893,             0.49661,                   0,                   0,                   0,                 0.5,             0.94108,                   0,                   0,              2.6851
              0.5492,             0.37784,              0.4165,             0.26001,            0.036944,           0.0084181,            0.013931,             0.01249,             0.01094,               0.937,             0.00051,              2.2307,             0.73381,             0.11831,             0.04748,             0.50323,             0.93887,             0.96742,              1.0473,                 0.2,               3.693,                   0,               0.015,             0.74778,             0.37054,                   0,             0.08763,              0.4719,                   0,                   0,                   0,                 0.5,              0.9715,                   0,                   0,              3.6444
             0.71149,             0.40623,             0.43971,             0.26847,            0.036524,           0.0091249,            0.015846,             0.01219,             0.01052,             0.93935,             0.00051,              2.2307,                 0.8,             0.12269,             0.04715,             0.51184,              1.1441,             0.98729,                1.03,                 0.2,              3.9204,                   0,             0.01602,                 0.7,             0.38584,                   0,             0.08766,             0.50031,                   0,                   0,                   0,                 0.5,             0.96666,                   0,                   0,               3.874
             0.60617,             0.40237,             0.42666,             0.26629,            0.043222,           0.0094649,            0.015168,             0.01283,                0.01,             0.92316,             0.00051,              2.3303,             0.85228,             0.12605,             0.05229,             0.49604,              1.1655,              1.0144,             0.91503,                 0.2,              4.2216,                   0,             0.01492,                 0.7,             0.38584,                   0,             0.08543,             0.47208,                   0,                   0,                   0,                 0.5,             0.98168,                   0,                   0,              3.2651
             0.61046,               0.423,             0.43503,             0.26752,             0.04217,           0.0065449,            0.017592,             0.00984,             0.01216,             0.93172,             0.00054,               2.234,             0.85228,             0.12605,             0.05459,             0.56045,              1.1503,             0.70823,              1.1825,                 0.2,              3.5685,                   0,             0.01438,             0.57684,             0.29666,                   0,             0.08543,             0.43766,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.739
             0.64218,             0.40861,              0.4412,             0.27297,            0.049365,           0.0069546,            0.013129,             0.00966,             0.01344,             0.93172,             0.00054,              1.8823,             0.73766,             0.10091,             0.06109,              0.4367,             0.91026,             0.64042,              1.2749,                 0.2,              3.9511,                   0,             0.00838,             0.49294,             0.26301,                   0,             0.05394,             0.46708,                   0,                   0,                   0,                 0.5,             0.99241,                   0,                   0,              2.6531
             0.64215,             0.40762,             0.43349,             0.27211,            0.046611,           0.0069243,            0.011949,             0.00976,             0.01349,             0.93305,             0.00054,              1.8835,             0.74092,             0.10091,             0.06047,              0.4367,             0.91026,             0.64716,              1.2749,                 0.2,                3.92,                   0,             0.00839,             0.49756,             0.26615,                   0,             0.05391,             0.46394,                   0,                   0,                   0,                 0.5,             0.98212,                   0,                   0,              2.6424
