               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085306,            0.025408,            0.036923,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033297,           0.0033297,            0.070033
                   1,             0.06516,            0.022353,            0.024333,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006597,            0.006597,            0.039967
                   2,            0.063382,            0.021597,            0.021612,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097984,           0.0097984,            0.009835
                   3,            0.061851,            0.020721,              0.0212,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.059058,            0.020141,            0.019557,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056901,            0.020153,            0.018196,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.05542,            0.019946,            0.017052,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054761,            0.019417,            0.016902,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053081,            0.019564,            0.015825,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052628,            0.019238,            0.015814,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.051824,            0.019192,            0.014952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.05099,            0.018535,            0.014131,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.050721,            0.019164,            0.014244,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.050301,            0.018832,              0.0136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
